Timestamp,Level,Alert_Type,Source_IP,Destination_IP,Detail
2026-05-24 01:34:03,HIGH,PORT_SCAN_SYN,192.168.1.100,10.0.0.1,25 SYN packets in 10s
2026-05-24 01:34:04,HIGH,BRUTE_FORCE_SSH,10.10.10.5,192.168.0.1,15 attempts in 60s
2026-05-24 01:34:04,MEDIUM,PORT_SCAN_XMAS,172.16.0.50,10.0.0.2,XMAS scan probe detected
2026-05-24 01:34:05,HIGH,ICMP_FLOOD,192.168.2.200,10.0.0.3,40 ICMP packets in 5s
2026-05-24 01:34:05,HIGH,SQL_INJECTION,203.0.113.77,10.0.0.4,Signature: union select
2026-05-24 01:34:06,HIGH,ARP_SPOOFING,192.168.1.1,LAN,MAC changed: aa:bb → cc:dd
2026-05-24 01:34:07,HIGH,DNS_EXFILTRATION,10.20.30.40,8.8.8.8,Label 52 chars: exfil.base64encoded.evil.com
2026-05-24 01:34:07,MEDIUM,DNS_TUNNELING,10.10.0.9,8.8.4.4,60 DNS queries in 60s
2026-05-24 01:34:08,HIGH,XSS_PROBE,198.51.100.3,10.0.0.5,Signature: <script
2026-05-24 01:34:08,HIGH,BRUTE_FORCE_FTP,172.16.1.11,10.0.0.6,12 attempts in 60s
